[ 2026-05-02 21:27:47,077 ] 21 root - INFO - Initiate the ingestion 
[ 2026-05-02 21:27:50,799 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-05-02 21:27:50,804 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-05-02 21:27:50,804 ] 76 root - INFO - Exporting train and file path. 
[ 2026-05-02 21:27:50,846 ] 85 root - INFO - Exported train and test file path.  
[ 2026-05-02 21:27:50,846 ] 23 root - INFO - Data Initiation completed 
[ 2026-05-02 21:27:50,864 ] 28 root - INFO - Initiate the data validation 
[ 2026-05-02 21:27:50,946 ] 33 root - INFO - Required number of columns:2 
[ 2026-05-02 21:27:50,946 ] 34 root - INFO - Data frame has columns:31 
[ 2026-05-02 21:27:50,946 ] 33 root - INFO - Required number of columns:2 
[ 2026-05-02 21:27:50,946 ] 34 root - INFO - Data frame has columns:31 
[ 2026-05-02 21:27:51,060 ] 30 root - INFO - Data validation completed 
