[ 2026-07-04 23:26:38,780 ] 30 root - INFO - Initiate the ingestion 
[ 2026-07-04 23:26:56,322 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-07-04 23:26:56,322 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-07-04 23:26:56,322 ] 76 root - INFO - Exporting train and file path. 
[ 2026-07-04 23:26:56,363 ] 85 root - INFO - Exported train and test file path.  
[ 2026-07-04 23:26:56,363 ] 34 root - INFO - Data Ingestion completed 
[ 2026-07-04 23:26:56,363 ] 47 root - INFO - Initiate the data validation 
[ 2026-07-04 23:26:56,431 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-04 23:26:56,431 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-04 23:26:56,431 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-04 23:26:56,431 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-04 23:26:56,534 ] 51 root - INFO - Data validation completed 
[ 2026-07-04 23:26:56,536 ] 61 root - INFO - Data transformation started 
[ 2026-07-04 23:26:56,536 ] 56 root - INFO - Entered initiate_data_transformation method 
[ 2026-07-04 23:26:56,536 ] 59 root - INFO - Starting data transformation 
[ 2026-07-04 23:26:56,548 ] 42 root - INFO - Entered get_data_transformer_object method 
[ 2026-07-04 23:26:56,548 ] 48 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2026-07-04 23:26:56,567 ] 51 root - INFO - Entered save_object method 
[ 2026-07-04 23:26:56,569 ] 58 root - INFO - Exited save_object method 
[ 2026-07-04 23:26:56,569 ] 72 root - INFO - Data transformation completed 
[ 2026-07-04 23:26:56,570 ] 85 root - INFO - Model Training Started 
[ 2026-07-04 23:27:01,185 ] 119 root - INFO - Random Forest --> Train Accuracy: 0.9898 | Test Accuracy: 0.9747 
[ 2026-07-04 23:27:01,412 ] 119 root - INFO - Decision Tree --> Train Accuracy: 0.9898 | Test Accuracy: 0.9634 
[ 2026-07-04 23:27:26,493 ] 119 root - INFO - Gradient Boosting --> Train Accuracy: 0.9661 | Test Accuracy: 0.9665 
[ 2026-07-04 23:27:26,579 ] 119 root - INFO - Logistic Regression --> Train Accuracy: 0.9270 | Test Accuracy: 0.9281 
[ 2026-07-04 23:27:31,485 ] 119 root - INFO - AdaBoost --> Train Accuracy: 0.9231 | Test Accuracy: 0.9258 
[ 2026-07-04 23:27:31,485 ] 95 root - INFO - Best Model Found : Random Forest 
