[ 2026-07-06 16:51:11,707 ] 30 root - INFO - Initiate the ingestion 
[ 2026-07-06 16:51:41,468 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-07-06 16:51:41,468 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-07-06 16:51:41,469 ] 76 root - INFO - Exporting train and file path. 
[ 2026-07-06 16:51:41,513 ] 85 root - INFO - Exported train and test file path.  
[ 2026-07-06 16:51:41,513 ] 34 root - INFO - Data Ingestion completed 
[ 2026-07-06 16:51:41,528 ] 47 root - INFO - Initiate the data validation 
[ 2026-07-06 16:51:41,606 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-06 16:51:41,606 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-06 16:51:41,606 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-06 16:51:41,606 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-06 16:51:41,724 ] 51 root - INFO - Data validation completed 
[ 2026-07-06 16:51:41,724 ] 61 root - INFO - Data transformation started 
[ 2026-07-06 16:51:41,724 ] 56 root - INFO - Entered initiate_data_transformation method 
[ 2026-07-06 16:51:41,724 ] 59 root - INFO - Starting data transformation 
[ 2026-07-06 16:51:41,746 ] 42 root - INFO - Entered get_data_transformer_object method 
[ 2026-07-06 16:51:41,746 ] 48 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2026-07-06 16:51:41,758 ] 51 root - INFO - Entered save_object method 
[ 2026-07-06 16:51:41,760 ] 58 root - INFO - Exited save_object method 
[ 2026-07-06 16:51:41,761 ] 72 root - INFO - Data transformation completed 
[ 2026-07-06 16:51:41,761 ] 85 root - INFO - Model Training Started 
[ 2026-07-06 16:51:47,925 ] 119 root - INFO - Random Forest --> Train Accuracy: 0.9902 | Test Accuracy: 0.9715 
[ 2026-07-06 16:51:48,127 ] 119 root - INFO - Decision Tree --> Train Accuracy: 0.9902 | Test Accuracy: 0.9652 
[ 2026-07-06 16:52:16,830 ] 119 root - INFO - Gradient Boosting --> Train Accuracy: 0.9668 | Test Accuracy: 0.9548 
[ 2026-07-06 16:52:17,031 ] 119 root - INFO - Logistic Regression --> Train Accuracy: 0.9259 | Test Accuracy: 0.9313 
[ 2026-07-06 16:52:22,803 ] 119 root - INFO - AdaBoost --> Train Accuracy: 0.9233 | Test Accuracy: 0.9290 
[ 2026-07-06 16:52:23,146 ] 110 root - INFO - Best Model Found : Random Forest 
[ 2026-07-06 16:52:23,146 ] 111 root - INFO - Best Model Accuracy : 0.9715061058344641 
