[ 2026-05-02 00:17:29,025 ] 21 root - INFO - Initiate the ingestion 
[ 2026-05-02 00:17:32,847 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-05-02 00:17:32,847 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-05-02 00:17:32,847 ] 76 root - INFO - Exporting train and file path. 
[ 2026-05-02 00:17:32,883 ] 85 root - INFO - Exported train and test file path.  
[ 2026-05-02 00:17:32,883 ] 23 root - INFO - Data Initiation completed 
[ 2026-05-02 00:17:32,912 ] 28 root - INFO - Initiate the data validation 
[ 2026-05-02 00:17:32,961 ] 33 root - INFO - Required number of columns:2 
[ 2026-05-02 00:17:32,961 ] 34 root - INFO - Data frame has columns:31 
[ 2026-05-02 00:17:32,961 ] 33 root - INFO - Required number of columns:2 
[ 2026-05-02 00:17:32,962 ] 34 root - INFO - Data frame has columns:31 
[ 2026-05-02 00:17:33,045 ] 30 root - INFO - Data validation completed 
