[ 2026-06-29 23:06:17,442 ] 22 root - INFO - Initiate the ingestion 
[ 2026-06-29 23:07:23,411 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-06-29 23:07:23,411 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-06-29 23:07:23,411 ] 76 root - INFO - Exporting train and file path. 
[ 2026-06-29 23:07:23,442 ] 85 root - INFO - Exported train and test file path.  
[ 2026-06-29 23:07:23,442 ] 24 root - INFO - Data Initiation completed 
[ 2026-06-29 23:07:23,468 ] 29 root - INFO - Initiate the data validation 
[ 2026-06-29 23:07:23,520 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:07:23,520 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:07:23,520 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:07:23,520 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:07:23,636 ] 31 root - INFO - Data validation completed 
