[ 2026-07-07 12:52:49,556 ] 42 root - INFO - Start data Ingestion 
[ 2026-07-07 12:53:01,307 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-07-07 12:53:01,307 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-07-07 12:53:01,307 ] 76 root - INFO - Exporting train and file path. 
[ 2026-07-07 12:53:01,339 ] 85 root - INFO - Exported train and test file path.  
[ 2026-07-07 12:53:01,339 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\07_07_2026_12_40_39\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\07_07_2026_12_40_39\\data_ingestion\\ingested\\test.csv') 
[ 2026-07-07 12:53:01,355 ] 55 root - INFO - Initiate the data Validation 
[ 2026-07-07 12:53:01,429 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-07 12:53:01,429 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-07 12:53:01,429 ] 33 root - INFO - Required number of columns:2 
[ 2026-07-07 12:53:01,429 ] 34 root - INFO - Data frame has columns:31 
[ 2026-07-07 12:53:01,548 ] 56 root - INFO - Entered initiate_data_transformation method 
[ 2026-07-07 12:53:01,548 ] 59 root - INFO - Starting data transformation 
[ 2026-07-07 12:53:01,566 ] 42 root - INFO - Entered get_data_transformer_object method 
[ 2026-07-07 12:53:01,566 ] 48 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2026-07-07 12:53:01,574 ] 51 root - INFO - Entered save_object method 
[ 2026-07-07 12:53:01,574 ] 58 root - INFO - Exited save_object method 
[ 2026-07-07 12:53:01,574 ] 51 root - INFO - Entered save_object method 
[ 2026-07-07 12:53:01,574 ] 58 root - INFO - Exited save_object method 
[ 2026-07-07 12:53:07,365 ] 119 root - INFO - Random Forest --> Train Accuracy: 0.9906 | Test Accuracy: 0.9747 
[ 2026-07-07 12:53:07,543 ] 119 root - INFO - Decision Tree --> Train Accuracy: 0.9906 | Test Accuracy: 0.9611 
[ 2026-07-07 12:53:35,896 ] 119 root - INFO - Gradient Boosting --> Train Accuracy: 0.9639 | Test Accuracy: 0.9570 
[ 2026-07-07 12:53:36,085 ] 119 root - INFO - Logistic Regression --> Train Accuracy: 0.9271 | Test Accuracy: 0.9272 
[ 2026-07-07 12:53:41,448 ] 119 root - INFO - AdaBoost --> Train Accuracy: 0.9245 | Test Accuracy: 0.9258 
[ 2026-07-07 12:53:41,807 ] 110 root - INFO - Best Model Found : Random Forest 
[ 2026-07-07 12:53:41,807 ] 111 root - INFO - Best Model Accuracy : 0.9746720940750792 
[ 2026-07-07 12:54:03,199 ] 51 root - INFO - Entered save_object method 
[ 2026-07-07 12:54:03,212 ] 58 root - INFO - Exited save_object method 
[ 2026-07-07 12:54:03,212 ] 51 root - INFO - Entered save_object method 
[ 2026-07-07 12:54:03,212 ] 58 root - INFO - Exited save_object method 
[ 2026-07-07 12:54:03,212 ] 164 root - INFO - Model Trainer Artifact : ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_07_2026_12_40_39\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915812962775129, precision_score=0.9900749442981568, recall_score=0.9930922389272654), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9774557165861514, precision_score=0.9719775820656525, recall_score=0.982995951417004)) 
