[ 2026-06-29 23:19:00,521 ] 22 root - INFO - Initiate the ingestion 
[ 2026-06-29 23:19:18,217 ] 66 root - INFO - Performed train test split on the dataframe 
[ 2026-06-29 23:19:18,217 ] 68 root - INFO - Exites split_data_as_train_test method of Data_Ingestion class 
[ 2026-06-29 23:19:18,217 ] 76 root - INFO - Exporting train and file path. 
[ 2026-06-29 23:19:18,264 ] 85 root - INFO - Exported train and test file path.  
[ 2026-06-29 23:19:18,271 ] 24 root - INFO - Data Initiation completed 
[ 2026-06-29 23:19:18,273 ] 29 root - INFO - Initiate the data validation 
[ 2026-06-29 23:19:18,345 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:19:18,346 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:19:18,346 ] 33 root - INFO - Required number of columns:2 
[ 2026-06-29 23:19:18,346 ] 34 root - INFO - Data frame has columns:31 
[ 2026-06-29 23:19:18,437 ] 31 root - INFO - Data validation completed 
[ 2026-06-29 23:19:18,437 ] 34 root - INFO - data transformation started 
[ 2026-06-29 23:19:18,437 ] 56 root - INFO - Entered initiate_data_transformation method 
[ 2026-06-29 23:19:18,437 ] 59 root - INFO - Starting data transformation 
[ 2026-06-29 23:19:18,472 ] 42 root - INFO - Entered get_data_transformer_object method 
[ 2026-06-29 23:19:18,472 ] 48 root - INFO - KNNImputer initialized with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2026-06-29 23:19:18,480 ] 49 root - INFO - Entered the save_object method of MainUtils class 
[ 2026-06-29 23:19:18,490 ] 53 root - INFO - Exited the save_object method of maintils class 
